# packages in environment at /ssu/gassu/conda_envs/renv_latest:
#
# Name                    Version                   Build  Channel
_libgcc_mutex             0.1                 conda_forge    conda-forge
_openmp_mutex             4.5                       2_gnu    conda-forge
_r-mutex                  1.0.1               anacondar_1    conda-forge
anyio                     4.3.0              pyhd8ed1ab_0    conda-forge
argcomplete               2.1.1              pyhd8ed1ab_0    conda-forge
argon2-cffi               23.1.0             pyhd8ed1ab_0    conda-forge
argon2-cffi-bindings      21.2.0          py311h459d7ec_4    conda-forge
arrow                     1.3.0              pyhd8ed1ab_0    conda-forge
asttokens                 2.4.1              pyhd8ed1ab_0    conda-forge
async-lru                 2.0.4              pyhd8ed1ab_0    conda-forge
attrs                     23.2.0             pyh71513ae_0    conda-forge
babel                     2.14.0             pyhd8ed1ab_0    conda-forge
beautifulsoup4            4.12.3             pyha770c72_0    conda-forge
binutils_impl_linux-64    2.40                 hf600244_0    conda-forge
bioconductor-annotate     1.76.0            r42hdfd78af_0    bioconda
bioconductor-annotationdbi 1.60.0            r42hdfd78af_0    bioconda
bioconductor-annotationfilter 1.22.0            r42hdfd78af_0    bioconda
bioconductor-ballgown     2.30.0            r42hdfd78af_0    bioconda
bioconductor-bamsignals   1.30.0            r42hf17093f_1    bioconda
bioconductor-biobase      2.58.0            r42hc0cfd56_0    bioconda
bioconductor-biocfilecache 2.6.0             r42hdfd78af_0    bioconda
bioconductor-biocgenerics 0.44.0            r42hdfd78af_0    bioconda
bioconductor-biocio       1.8.0             r42hdfd78af_0    bioconda
bioconductor-biocparallel 1.32.5            r42hc247a5b_0    bioconda
bioconductor-biomart      2.54.0            r42hdfd78af_0    bioconda
bioconductor-biostrings   2.66.0            r42hc0cfd56_0    bioconda
bioconductor-biovizbase   1.46.0            r42hc0cfd56_0    bioconda
bioconductor-bsgenome     1.66.1            r42hdfd78af_0    bioconda
bioconductor-data-packages 20230202             hdfd78af_0    bioconda
bioconductor-delayedarray 0.24.0            r42hc0cfd56_0    bioconda
bioconductor-deseq2       1.38.0            r42hc247a5b_0    bioconda
bioconductor-edger        3.40.0            r42hc247a5b_0    bioconda
bioconductor-ensembldb    2.22.0            r42hdfd78af_0    bioconda
bioconductor-genefilter   1.80.0            r42h38f54d8_0    bioconda
bioconductor-geneplotter  1.76.0            r42hdfd78af_0    bioconda
bioconductor-genomeinfodb 1.34.8            r42hdfd78af_0    bioconda
bioconductor-genomeinfodbdata 1.2.9             r42hdfd78af_0    bioconda
bioconductor-genomicalignments 1.34.0            r42hc0cfd56_0    bioconda
bioconductor-genomicfeatures 1.50.2            r42hdfd78af_0    bioconda
bioconductor-genomicranges 1.50.0            r42hc0cfd56_0    bioconda
bioconductor-gviz         1.42.0            r42hdfd78af_0    bioconda
bioconductor-iranges      2.32.0            r42hc0cfd56_0    bioconda
bioconductor-karyoploter  1.24.0            r42hdfd78af_0    bioconda
bioconductor-keggrest     1.38.0            r42hdfd78af_0    bioconda
bioconductor-limma        3.54.0            r42hc0cfd56_0    bioconda
bioconductor-matrixgenerics 1.10.0            r42hdfd78af_0    bioconda
bioconductor-protgenerics 1.30.0            r42hdfd78af_0    bioconda
bioconductor-regioner     1.30.0            r42hdfd78af_0    bioconda
bioconductor-rhtslib      2.0.0             r42hc0cfd56_0    bioconda
bioconductor-rsamtools    2.14.0            r42hc247a5b_0    bioconda
